,sample,bin_size,PC_pair,TH,RMSE
387,Sample_1,3.85,"3,5",-2,0.6453256854777661
388,Sample_1,4.65,"3,5",-3,0.5884788856517255
389,Sample_1,0.6,"3,5",-3,0.4091148932641517
390,Sample_1,3.0,"3,5",-1,0.6583880087827547
391,Sample_1,0.4,"3,5",-2,0.7680547466529134
392,Sample_1,4.8,"3,5",-3,0.833353190270211
393,Sample_1,0.9,"3,5",-3,0.4465800321954221
394,Sample_1,1.9,"3,5",-3,0.7046590481146345
395,Sample_1,2.3,"3,5",-3,0.7530095373909108
396,Sample_1,3.1,"3,5",-3,0.7054623959066297
397,Sample_1,1.7,"3,5",-3,0.4284645942323974
398,Sample_1,3.4,"3,5",-3,0.6952024415053922
399,Sample_1,0.45,"3,5",-3,0.5550151986243835
400,Sample_1,2.15,"3,5",-2,0.6195782388082189
401,Sample_1,0.55,"3,5",-2,0.7747289704473257
402,Sample_1,3.35,"3,5",-2,0.5880841929547692
403,Sample_1,4.8,"3,5",-1,0.57747166741029
404,Sample_1,1.15,"3,5",-1,0.6583521673173337
405,Sample_1,0.25,"3,5",-1,0.32318519967630155
406,Sample_1,3.2,"3,5",-3,0.7444777005116026
407,Sample_1,0.2,"3,5",-3,0.7079382616586964
408,Sample_1,2.25,"3,5",-3,0.74288362340687
409,Sample_1,0.5,"3,5",-3,0.5013252508990235
410,Sample_1,1.55,"3,5",-1,0.7727285712992227
411,Sample_1,3.2,"3,5",-2,0.56340303835022
412,Sample_1,4.2,"3,5",-3,0.6817719663094434
413,Sample_1,3.95,"3,5",-1,0.7165858153459866
414,Sample_1,2.8,"3,5",-3,0.6614330710148543
415,Sample_1,0.55,"3,5",-3,0.5820042991623504
416,Sample_1,0.15,"3,5",-2,0.6160764549546579
417,Sample_1,3.5,"3,5",-2,0.6004276687255119
418,Sample_1,1.7,"3,5",-2,0.6075386472507551
419,Sample_1,3.65,"3,5",-1,0.6797126118221993
420,Sample_1,2.4,"3,5",-3,0.6562465732404915
421,Sample_1,3.45,"3,5",-1,0.6269436696791917
422,Sample_1,0.75,"3,5",-1,0.33703343290864163
423,Sample_1,3.3,"3,5",-2,0.5449359205916642
